# Time-averaged data for fix rdf_CO_avg
# TimeStep Number-of-rows
# Row c_rdf_CO[1] c_rdf_CO[2] c_rdf_CO[3]
610000 150
107 8.73953 0.857733 58.2878
108 8.82159 0.881819 60.5522
109 8.90365 0.865636 62.8167
110 8.98572 0.8858 65.1767
111 9.06778 0.865756 67.5256
112 9.14984 0.870801 69.9311
113 9.2319 0.899447 72.4606
114 9.31396 0.893004 75.0167
115 9.39602 0.911579 77.6722
116 9.47808 0.893449 80.3206
117 9.56015 0.896739 83.025
118 9.64221 0.902373 85.7933
119 9.72427 0.889717 88.5694
120 9.80633 0.888889 91.39
121 9.88839 0.8732 94.2072
122 9.97045 0.901331 97.1639
123 10.0525 0.893213 100.142
124 10.1346 0.885869 103.144
125 10.2166 0.894312 106.224
126 10.2987 0.892883 109.349
127 10.3808 0.905913 112.571
128 10.4628 0.899038 115.818
129 10.5449 0.889619 119.082
130 10.6269 0.898568 122.431
131 10.709 0.915301 125.894
132 10.7911 0.914913 129.41
133 10.8731 0.914795 132.978
134 10.9552 0.935465 136.683
135 11.0372 0.924854 140.4
136 11.1193 0.91907 144.149
137 11.2014 0.917141 147.946
138 11.2834 0.93122 151.858
139 11.3655 0.925976 155.805
140 11.4476 0.94763 159.903
141 11.5296 0.944916 164.047
142 11.6117 0.956982 168.304
143 11.6937 0.960016 172.636
144 11.7758 0.93931 176.934
145 11.8579 0.953463 181.358
146 11.9399 0.954528 185.848
147 12.022 0.957006 190.412
148 12.104 0.969057 195.097
149 12.1861 0.967665 199.838
150 12.2682 0.956099 204.587
640000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0.0165675 0.00388889
34 2.74905 0.0355562 0.0127778
35 2.83112 0.0753948 0.0327778
36 2.91318 0.0831304 0.0561111
37 2.99524 0.11997 0.0916667
38 3.0773 0.154529 0.14
39 3.15936 0.200272 0.206111
40 3.24142 0.214439 0.280556
41 3.32348 0.275556 0.381111
42 3.40555 0.258132 0.48
43 3.48761 0.297256 0.599444
44 3.56967 0.296917 0.724444
45 3.65173 0.348072 0.877778
46 3.73379 0.317134 1.02389
47 3.81585 0.366118 1.2
48 3.89791 0.351984 1.37667
49 3.97997 0.371553 1.57111
50 4.06204 0.396505 1.78722
51 4.1441 0.393565 2.01056
52 4.22616 0.422708 2.26
53 4.30822 0.442182 2.53111
54 4.39028 0.421471 2.79944
55 4.47234 0.450743 3.09722
56 4.5544 0.466237 3.41667
57 4.63647 0.45843 3.74222
58 4.71853 0.479656 4.095
59 4.80059 0.48887 4.46722
60 4.88265 0.500993 4.86167
61 4.96471 0.478403 5.25111
62 5.04677 0.49662 5.66889
63 5.12883 0.494204 6.09833
64 5.21089 0.520894 6.56556
65 5.29296 0.538478 7.06389
66 5.37502 0.527444 7.56722
67 5.45708 0.561308 8.11944
68 5.53914 0.525579 8.65222
69 5.6212 0.51253 9.18722
70 5.70326 0.573965 9.80389
71 5.78532 0.546706 10.4083
72 5.86739 0.589692 11.0789
73 5.94945 0.596296 11.7761
74 6.03151 0.602438 12.5
75 6.11357 0.622289 13.2683
76 6.19563 0.598418 14.0272
77 6.27769 0.613235 14.8256
78 6.35975 0.619193 15.6528
79 6.44181 0.603632 16.48
80 6.52388 0.649285 17.3928
81 6.60594 0.667118 18.3544
82 6.688 0.679844 19.3589
83 6.77006 0.700617 20.4194
84 6.85212 0.713842 21.5267
85 6.93418 0.712132 22.6578
86 7.01624 0.707153 23.8078
87 7.09831 0.740343 25.04
88 7.18037 0.706837 26.2439
89 7.26243 0.72416 27.5056
90 7.34449 0.761486 28.8622
91 7.42655 0.74836 30.2256
92 7.50861 0.771123 31.6617
93 7.59067 0.758378 33.105
94 7.67273 0.778241 34.6183
95 7.7548 0.77895 36.1656
96 7.83686 0.793418 37.775
97 7.91892 0.798845 39.43
98 8.00098 0.808158 41.1389
99 8.08304 0.823039 42.915
100 8.1651 0.810825 44.7006
101 8.24716 0.842554 46.5933
102 8.32923 0.83782 48.5133
103 8.41129 0.834988 50.465
104 8.49335 0.86264 52.5206
105 8.57541 0.829989 54.5367
106 8.65747 0.888841 56.7372
107 8.73953 0.920121 59.0583
108 8.82159 0.895839 61.3611
109 8.90365 0.856278 63.6033
110 8.98572 0.861833 65.9017
111 9.06778 0.883485 68.3011
112 9.14984 0.881624 70.7394
113 9.2319 0.889314 73.2433
114 9.31396 0.88721 75.7856
115 9.39602 0.911891 78.445
116 9.47808 0.913102 81.1544
117 9.56015 0.896239 83.86
118 9.64221 0.921924 86.6911
119 9.72427 0.889683 89.47
120 9.80633 0.880863 92.2678
121 9.88839 0.895043 95.1589
122 9.97045 0.905351 98.1317
123 10.0525 0.904055 101.149
124 10.1346 0.890865 104.172
125 10.2166 0.895301 107.258
126 10.2987 0.890393 110.378
127 10.3808 0.901174 113.586
128 10.4628 0.908642 116.871
129 10.5449 0.901964 120.184
130 10.6269 0.906198 123.564
131 10.709 0.903587 126.987
132 10.7911 0.911588 130.493
133 10.8731 0.91823 134.079
134 10.9552 0.923555 137.74
135 11.0372 0.909985 141.402
136 11.1193 0.925602 145.182
137 11.2014 0.933944 149.052
138 11.2834 0.909096 152.876
139 11.3655 0.928257 156.836
140 11.4476 0.940673 160.908
141 11.5296 0.947 165.066
142 11.6117 0.924973 169.186
143 11.6937 0.951342 173.482
144 11.7758 0.951495 177.841
145 11.8579 0.95781 182.289
146 11.9399 0.96033 186.811
147 12.022 0.971262 191.448
148 12.104 0.958822 196.088
149 12.1861 0.966435 200.828
150 12.2682 0.974174 205.671
650000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
