# Time-averaged data for fix rdf_CC_avg
# TimeStep Number-of-rows
# Row c_rdf_CC[1] c_rdf_CC[2] c_rdf_CC[3]
610000 150
147 12.022 2.21538 138.878
148 12.104 2.21296 139.948
149 12.1861 2.24842 141.05
150 12.2682 2.05321 142.07
630000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0 0
34 2.74905 0.0893947 0.00222222
35 2.83112 0.419197 0.0133333
36 2.91318 0.870552 0.0377778
37 2.99524 2.28334 0.105556
38 3.0773 4.08338 0.233333
39 3.15936 6.06001 0.433333
40 3.24142 8.51202 0.728889
41 3.32348 9.82434 1.08778
42 3.40555 15.0121 1.66333
43 3.48761 16.8321 2.34
44 3.56967 17.1246 3.06111
45 3.65173 17.5188 3.83333
46 3.73379 18.5386 4.68778
47 3.81585 18.9521 5.6
48 3.89791 18.7619 6.54222
49 3.97997 18.3324 7.50222
50 4.06204 19.6839 8.57556
51 4.1441 18.8739 9.64667
52 4.22616 18.9152 10.7633
53 4.30822 19.5991 11.9656
54 4.39028 20.773 13.2889
55 4.47234 19.4459 14.5744
56 4.5544 20.5323 15.9822
57 4.63647 18.3559 17.2867
58 4.71853 19.8534 18.7478
59 4.80059 19.2558 20.2144
60 4.88265 18.8387 21.6989
61 4.96471 19.2198 23.2644
62 5.04677 19.1238 24.8744
63 5.12883 18.5542 26.4878
64 5.21089 18.0287 28.1056
65 5.29296 18.2613 29.7967
66 5.37502 17.3275 31.4511
67 5.45708 16.7284 33.0978
68 5.53914 16.809 34.8022
69 5.6212 16.1911 36.4933
70 5.70326 15.8845 38.2011
71 5.78532 14.8534 39.8444
72 5.86739 14.8239 41.5311
73 5.94945 13.9804 43.1667
74 6.03151 12.8547 44.7122
75 6.11357 13.2052 46.3433
76 6.19563 11.6738 47.8244
77 6.27769 10.6127 49.2067
78 6.35975 10.5148 50.6122
79 6.44181 9.42144 51.9044
80 6.52388 8.49881 53.1
81 6.60594 8.22652 54.2867
82 6.688 7.77239 55.4356
83 6.77006 7.43084 56.5611
84 6.85212 6.95253 57.64
85 6.93418 6.45357 58.6656
86 7.01624 6.03831 59.6478
87 7.09831 5.73204 60.6022
88 7.18037 5.81002 61.5922
89 7.26243 6.208 62.6744
90 7.34449 5.52673 63.66
91 7.42655 5.5223 64.6667
92 7.50861 5.50934 65.6933
93 7.59067 5.59607 66.7589
94 7.67273 5.66988 67.8622
95 7.7548 5.41574 68.9389
96 7.83686 5.69876 70.0956
97 7.91892 5.61926 71.26
98 8.00098 5.61943 72.4489
99 8.08304 5.62908 73.6644
100 8.1651 5.78958 74.94
101 8.24716 5.61013 76.2011
102 8.32923 5.6891 77.5056
103 8.41129 5.83059 78.8689
104 8.49335 5.92335 80.2811
105 8.57541 5.91543 81.7189
106 8.65747 5.80281 83.1567
107 8.73953 5.61168 84.5733
108 8.82159 5.52103 85.9933
109 8.90365 5.93307 87.5478
110 8.98572 5.663 89.0589
111 9.06778 5.65439 90.5956
112 9.14984 5.43213 92.0989
113 9.2319 5.44346 93.6322
114 9.31396 5.31657 95.1567
115 9.39602 5.32367 96.71
116 9.47808 5.15692 98.2411
117 9.56015 5.07619 99.7744
118 9.64221 5.01207 101.314
119 9.72427 4.85187 102.831
120 9.80633 4.70848 104.328
121 9.88839 4.58345 105.809
122 9.97045 4.39588 107.253
123 10.0525 4.17547 108.648
124 10.1346 4.10088 110.04
125 10.2166 4.14798 111.471
126 10.2987 4.06391 112.896
127 10.3808 3.96268 114.307
128 10.4628 3.91529 115.723
129 10.5449 3.73979 117.098
130 10.6269 3.56063 118.427
131 10.709 3.55271 119.773
132 10.7911 3.40067 121.082
133 10.8731 3.47104 122.439
134 10.9552 3.30005 123.748
135 11.0372 3.29264 125.073
136 11.1193 3.11638 126.347
137 11.2014 3.08657 127.627
138 11.2834 2.86785 128.833
139 11.3655 2.84182 130.047
140 11.4476 2.85248 131.282
141 11.5296 2.64043 132.442
142 11.6117 2.67557 133.634
143 11.6937 2.61821 134.818
144 11.7758 2.47278 135.951
145 11.8579 2.40552 137.069
146 11.9399 2.33652 138.17
147 12.022 2.33067 139.283
148 12.104 2.17547 140.337
149 12.1861 2.19346 141.413
150 12.2682 1.97912 142.398
640000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
