# Time-averaged data for fix msd_avg
# TimeStep c_msd_water[1] c_msd_water[2] c_msd_water[3] c_msd_water[4]
933000 268.245 280.329 292.069 840.643
934000 271.011 282.361 293.534 846.906
935000 271.77 283.238 292.124 847.131
936000 272.885 283.631 292.844 849.359
937000 274.807 283.531 294.343 852.681
938000 276.073 285.197 296.197 857.467
939000 277.374 285.493 296.869 859.735
940000 279.135 286.796 297.675 863.606
941000 279.299 287.241 296.753 863.293
942000 279.663 289.303 296.526 865.493
943000 281.539 291.421 299.593 872.553
944000 281.269 291.441 300.933 873.643
945000 281.76 292.971 302.058 876.789
946000 281.629 293.721 304.247 879.596
947000 282.999 294.558 306.612 884.169
948000 282.704 296.067 308.633 887.403
949000 282.809 296.765 310.157 889.73
950000 283.03 296.214 309.917 889.161
951000 283.019 297.353 311.251 891.623
952000 282.855 297.151 311.306 891.312
953000 284.528 298.337 314.97 897.835
954000 287.222 299.743 316.459 903.424
955000 287.501 299.607 317.12 904.228
956000 287.659 299.809 318.506 905.974
957000 289.18 301.858 321.614 912.652
958000 288.424 302.336 322.547 913.307
959000 290.285 304.902 323.096 918.283
960000 291.473 305.86 322.62 919.954
961000 290.38 305.262 320.683 916.325
962000 292.348 307.417 323.92 923.685
963000 293.08 309.503 324.014 926.596
964000 295.818 311.783 325.491 933.092
965000 298.667 313.241 326.505 938.413
966000 298.095 313.034 326.238 937.367
967000 300.707 314.93 328.803 944.44
968000 300.39 316.28 328.536 945.207
969000 299.53 315.541 325.926 940.997
970000 299.44 316.118 325.661 941.22
971000 301.908 316.254 327.335 945.497
972000 304.847 318.493 329.114 952.453
973000 307.666 321.141 330.646 959.453
974000 307.542 322.216 330.774 960.533
975000 305.981 320.88 330.606 957.466
976000 305.459 320.755 330.605 956.819
977000 307.555 322.186 331.39 961.131
978000 307.64 323.309 330.084 961.033
979000 308.498 324.567 331.203 964.268
980000 309.502 325.189 332.408 967.099
981000 308.899 326.427 333.068 968.394
982000 308.764 328.088 333.653 970.505
983000 309.428 329.062 334.23 972.719
984000 311.242 331.172 335.886 978.299
985000 312.759 332.422 336.946 982.127
986000 314.037 333.745 336.068 983.85
987000 315.506 334.806 336.736 987.048
988000 315.026 334.33 337.355 986.711
989000 315.225 333.981 337.879 987.085
990000 316.364 334.917 338.157 989.438
991000 315.179 334.271 338.658 988.108
992000 316.64 335.452 341.972 994.064
993000 316.638 336.286 342.987 995.912
994000 317.79 337.79 345.079 1000.66
995000 318.641 339.39 345.844 1003.87
996000 319.867 340.312 347.526 1007.7
997000 321.746 341.309 350.941 1014
998000 322.184 341.565 352.075 1015.82
999000 321.49 340.664 351.948 1014.1
1000000 321.688 341.797 353.424 1016.91
1001000 321.888 341.656 353.882 1017.43
1002000 323.227 342.443 355.789 1021.46
1003000 324.468 342.762 357.398 1024.63
1004000 323.456 343.012 356.637 1023.11
1005000 323.247 340.266 354.283 1017.8
1006000 327.72 342.375 356.654 1026.75
1007000 329.878 344.34 360.856 1035.07
1008000 331.53 347.992 363.675 1043.2
1009000 331.43 348.766 362.244 1042.44
1010000 333.888 349.915 363.687 1047.49
1011000 335.069 350.983 362.455 1048.51
1012000 335.669 350.831 361.997 1048.5
1013000 334.646 348.8 362.374 1045.82
1014000 334.53 348.675 364.085 1047.29
1015000 335.881 348.463 366.221 1050.56
1016000 338.965 349.785 368.506 1057.26
1017000 338.067 348.061 367.042 1053.17
1018000 339.8 350.515 368.27 1058.59
1019000 341.772 350.521 370.137 1062.43
1020000 343.055 351.31 371.083 1065.45
1021000 343.048 350.286 371.076 1064.41
1022000 346.923 352.898 375.415 1075.24
1023000 345.71 352.692 375.896 1074.3
1024000 345.708 352.567 376.493 1074.77
1025000 346.527 353.561 376.48 1076.57
1026000 348.038 355.677 377.675 1081.39
1027000 348.713 355.437 377.364 1081.51
1028000 351.739 356.995 379.814 1088.55
1029000 352.291 356.754 381.828 1090.87
1030000 350.836 356.511 381.761 1089.11
1031000 351.74 360.239 386.286 1098.26
1032000 352.845 361.154 386.175 1100.17
1033000 353.574 361.245 386.139 1100.96
1034000 356.127 364.392 388.704 1109.22
1035000 356.963 364.009 388.989 1109.96
1036000 358.974 365.296 391.302 1115.57
